mean,std,effect,model
0.285585124257893,0.0303225141120823,0,diffinmean
0.304179447852761,0.0778236465568132,0.177917484662577,diffinmean
0.0703615125992167,0.0760241350283531,0.171886158192091,diffinmean
-0.266180521795495,0.0747790392778874,-0.148443823529411,diffinmean
0.0402852049910873,0.0794382173950113,-0.144368686868687,diffinmean
0.113304093567251,0.0787776728681941,0.0555664473684211,diffinmean
0.161054118346714,0.0777130135980668,0.0567276836158192,diffinmean
-0.421052631578947,0.0749117896283368,-0.223157309941521,diffinmean
-0.0403294822421909,0.0769282008967133,-0.147543597560976,diffinmean
0.0908355398646661,0.0779797766054768,0.139866193181818,diffinmean
-0.00623491552695092,0.0760459406498901,0.137161061946902,diffinmean
-0.126238373350638,0.0762231507282483,-0.0648044776119403,diffinmean
-0.157276119402985,0.0779944276996132,-0.0578153125000001,diffinmean
0.0701073529870342,0.00934800353612925,0,gppoint
0.145819111871524,0.0185663308085247,0.177917484662577,gppoint
0.117932561638621,0.0151461857472235,0.171886158192091,gppoint
-0.147731239339419,0.0169357767545441,-0.148443823529411,gppoint
-0.129233199876836,0.0192016681410275,-0.144368686868687,gppoint
0.0325623211114238,0.00628436984497877,0.0555664473684211,gppoint
0.0609111900186589,0.00637421611605935,0.0567276836158192,gppoint
-0.158274966116759,0.0175520784387422,-0.223157309941521,gppoint
-0.150029444756137,0.0175663193332845,-0.147543597560976,gppoint
0.109871331077175,0.015328062175106,0.139866193181818,gppoint
0.115774762495046,0.0155943950520421,0.137161061946902,gppoint
-0.0477710973023192,0.00711891393885429,-0.0648044776119403,gppoint
-0.051866076647896,0.0087380142687757,-0.0578153125000001,gppoint
0.077974864938531,0.00816818348927487,0,gpGMM
0.148232375254949,0.0155293973684266,0.177917484662577,gpGMM
0.129513572218051,0.0128652406690105,0.171886158192091,gpGMM
-0.148233247798981,0.0144001974907048,-0.148443823529411,gpGMM
-0.137296301682345,0.0165938828391568,-0.144368686868687,gpGMM
0.0381465075596764,0.00562741322898066,0.0555664473684211,gpGMM
0.0641549643992011,0.00542437714357615,0.0567276836158192,gpGMM
-0.173369771215275,0.0146957021010719,-0.223157309941521,gpGMM
-0.159953245345219,0.0147109612490868,-0.147543597560976,gpGMM
0.118886325891375,0.0131315169685577,0.139866193181818,gpGMM
0.122722444045883,0.0132341363244646,0.137161061946902,gpGMM
-0.0491787465106869,0.00621918551944396,-0.0648044776119403,gpGMM
-0.052545768745648,0.00739036305945014,-0.0578153125000001,gpGMM
